id,name,slug,type,name_with_type,code,parent_code,path,path_with_type
12399,Phú Cường,phu-cuong,xa,Xã Phú Cường,30025,871,"Phú Cường, Tam Nông, Đồng Tháp","Xã Phú Cường, Huyện Tam Nông, Tỉnh Đồng Tháp"
12400,Phú Thọ,phu-tho,xa,Xã Phú Thọ,30031,871,"Phú Thọ, Tam Nông, Đồng Tháp","Xã Phú Thọ, Huyện Tam Nông, Tỉnh Đồng Tháp"
12401,An Long,an-long,xa,Xã An Long,30022,871,"An Long, Tam Nông, Đồng Tháp","Xã An Long, Huyện Tam Nông, Tỉnh Đồng Tháp"
12402,Phú Hiệp,phu-hiep,xa,Xã Phú Hiệp,30010,871,"Phú Hiệp, Tam Nông, Đồng Tháp","Xã Phú Hiệp, Huyện Tam Nông, Tỉnh Đồng Tháp"
12403,Phú Ninh,phu-ninh,xa,Xã Phú Ninh,30028,871,"Phú Ninh, Tam Nông, Đồng Tháp","Xã Phú Ninh, Huyện Tam Nông, Tỉnh Đồng Tháp"
12404,Phú Thành B,phu-thanh-b,xa,Xã Phú Thành B,30016,871,"Phú Thành B, Tam Nông, Đồng Tháp","Xã Phú Thành B, Huyện Tam Nông, Tỉnh Đồng Tháp"
12405,An Hòa,an-hoa,xa,Xã An Hòa,30019,871,"An Hòa, Tam Nông, Đồng Tháp","Xã An Hòa, Huyện Tam Nông, Tỉnh Đồng Tháp"
12406,Tân Công Sính,tan-cong-sinh,xa,Xã Tân Công Sính,30007,871,"Tân Công Sính, Tam Nông, Đồng Tháp","Xã Tân Công Sính, Huyện Tam Nông, Tỉnh Đồng Tháp"
12407,Tháp Mười,thap-muoi,huyen,Huyện Tháp Mười,872,87,"Tháp Mười, Đồng Tháp","Huyện Tháp Mười, Tỉnh Đồng Tháp"
12408,Láng Biển,lang-bien,xa,Xã Láng Biển,30070,872,"Láng Biển, Tháp Mười, Đồng Tháp","Xã Láng Biển, Huyện Tháp Mười, Tỉnh Đồng Tháp"
12409,Thạnh Lợi,thanh-loi,xa,Xã Thạnh Lợi,30040,872,"Thạnh Lợi, Tháp Mười, Đồng Tháp","Xã Thạnh Lợi, Huyện Tháp Mười, Tỉnh Đồng Tháp"
12410,Thanh Mỹ,thanh-my,xa,Xã Thanh Mỹ,30073,872,"Thanh Mỹ, Tháp Mười, Đồng Tháp","Xã Thanh Mỹ, Huyện Tháp Mười, Tỉnh Đồng Tháp"
12411,Đốc Binh Kiều,doc-binh-kieu,xa,Xã Đốc Binh Kiều,30061,872,"Đốc Binh Kiều, Tháp Mười, Đồng Tháp","Xã Đốc Binh Kiều, Huyện Tháp Mười, Tỉnh Đồng Tháp"
12412,Trường Xuân,truong-xuan,xa,Xã Trường Xuân,30046,872,"Trường Xuân, Tháp Mười, Đồng Tháp","Xã Trường Xuân, Huyện Tháp Mười, Tỉnh Đồng Tháp"
12413,Phú Điền,phu-dien,xa,Xã Phú Điền,30067,872,"Phú Điền, Tháp Mười, Đồng Tháp","Xã Phú Điền, Huyện Tháp Mười, Tỉnh Đồng Tháp"
12414,Mỹ An,my-an,thi-tran,Thị trấn Mỹ An,30037,872,"Mỹ An, Tháp Mười, Đồng Tháp","Thị trấn Mỹ An, Huyện Tháp Mười, Tỉnh Đồng Tháp"
12415,Mỹ Đông,my-dong,xa,Xã Mỹ Đông,30058,872,"Mỹ Đông, Tháp Mười, Đồng Tháp","Xã Mỹ Đông, Huyện Tháp Mười, Tỉnh Đồng Tháp"
12416,Mỹ An,my-an,xa,Xã Mỹ An,30064,872,"Mỹ An, Tháp Mười, Đồng Tháp","Xã Mỹ An, Huyện Tháp Mười, Tỉnh Đồng Tháp"
12417,Mỹ Hòa,my-hoa,xa,Xã Mỹ Hòa,30052,872,"Mỹ Hòa, Tháp Mười, Đồng Tháp","Xã Mỹ Hòa, Huyện Tháp Mười, Tỉnh Đồng Tháp"
12418,Mỹ Quý,my-quy,xa,Xã Mỹ Quý,30055,872,"Mỹ Quý, Tháp Mười, Đồng Tháp","Xã Mỹ Quý, Huyện Tháp Mười, Tỉnh Đồng Tháp"
